C,Mn,Al,Si,Fe,UTS,UE
0.6,12.0,0.0,0.0,87.4,830.0,27.6
0.3,12.0,3.0,0.0,84.7,943.2,46.3
0.05,6.15,0.0,1.5,92.3,1014.0,20.0
0.05,6.15,0.0,1.5,92.3,1099.0,13.8
0.05,6.15,0.0,1.5,92.3,1213.0,9.5
0.05,6.15,0.0,1.5,92.3,1348.0,6.9
0.15,6.0,3.0,1.5,89.35,856.0,14.7
0.15,6.0,3.0,1.5,89.35,929.0,35.2
0.3,6.0,3.0,1.5,89.2,1053.0,51.0
0.3,10.0,3.0,2.0,84.7,1241.0,15.1
0.3,10.0,3.0,2.0,84.7,1124.0,29.2
0.3,10.0,3.0,2.0,84.7,1148.0,62.4
0.12,4.6,1.1,0.55,93.63000000000001,988.0,11.5
0.12,4.6,1.1,0.55,93.63000000000001,1204.0,12.9
0.12,4.6,1.1,0.55,93.63000000000001,1461.0,6.2
0.12,5.8,3.1,0.47,90.51,854.0,14.7
0.12,5.8,3.1,0.47,90.51,994.0,23.8
0.12,5.8,3.1,0.47,90.51,1161.0,11.2
0.11,4.5,2.2,0.45,92.74,772.0,14.2
0.11,4.5,2.2,0.45,92.74,851.0,28.7
0.11,4.5,2.2,0.45,92.74,929.0,23.0
0.11,4.5,2.2,0.45,92.74,1014.0,15.1
0.075,5.1,2.1,0.49,92.23500000000001,821.0,21.3
0.075,5.1,2.1,0.49,92.23500000000001,870.0,23.8
0.075,5.1,2.1,0.49,92.23500000000001,972.0,16.1
0.075,5.1,2.1,0.49,92.23500000000001,1009.0,13.1
0.055,5.6,2.2,0.49,91.655,871.0,22.3
0.055,5.6,2.2,0.49,91.655,907.0,17.4
0.055,5.6,2.2,0.49,91.655,974.0,15.5
0.055,5.6,2.2,0.49,91.655,1008.0,10.8
0.08,12.8,0.0,0.0,87.12,1264.0,16.5
0.08,12.8,0.0,0.0,87.12,1329.0,29.7
0.08,12.8,0.0,0.0,87.12,1342.0,24.5
0.08,12.8,0.0,0.0,87.12,1408.0,23.1
0.15,6.0,1.0,1.5,91.35,950.2,14.9
0.15,6.0,1.0,1.5,91.35,1031.6,39.6
0.15,6.0,1.0,1.5,91.35,1201.5,32.1
0.1,5.18,0.026,0.12,94.574,597.0,23.5
0.1,5.18,0.026,0.12,94.574,624.0,38.5
0.1,5.18,0.026,0.12,94.574,651.0,17.5
0.1,5.18,0.026,0.12,94.574,846.0,12.5
0.1,5.18,0.026,0.12,94.574,1028.0,6.8
0.095,5.8,0.028,0.13,93.947,708.0,17.0
0.095,5.8,0.028,0.13,93.947,736.0,38.4
0.095,5.8,0.028,0.13,93.947,748.0,14.3
0.095,5.8,0.028,0.13,93.947,949.0,15.7
0.095,5.8,0.028,0.13,93.947,1181.0,8.1
0.099,7.09,0.031,0.13,92.64999999999999,801.0,17.5
0.099,7.09,0.031,0.13,92.64999999999999,874.0,29.8
0.099,7.09,0.031,0.13,92.64999999999999,1016.0,17.2
0.099,7.09,0.031,0.13,92.64999999999999,1198.0,16.8
0.099,7.09,0.031,0.13,92.64999999999999,1368.0,8.1
0.143,7.39,1.55,0.2,90.717,831.0,44.5
0.143,7.39,1.55,0.2,90.717,1080.0,15.4
0.143,10.07,1.68,0.2,87.907,1088.0,44.8
0.14,7.14,0.056,0.23,92.434,1044.1,33.2
0.14,7.14,0.056,0.23,92.434,1166.3,23.5
0.14,7.14,0.056,0.23,92.434,1029.7,34.8
0.14,7.14,0.056,0.23,92.434,1051.6,34.8
0.14,7.14,0.056,0.23,92.434,1095.5,31.7
0.14,7.14,0.056,0.23,92.434,1289.5,23.5
0.14,7.14,0.056,0.23,92.434,1442.9,14.6
0.14,7.14,0.056,0.23,92.434,1705.8,14.7
0.14,7.14,0.056,0.23,92.434,1721.4,12.5
0.14,7.14,0.056,0.23,92.434,1067.6,37.2
0.14,7.14,0.056,0.23,92.434,1092.1,32.9
0.14,7.14,0.056,0.23,92.434,1225.9,22.2
0.14,7.14,0.056,0.23,92.434,1473.9,17.4
0.14,7.14,0.056,0.23,92.434,1063.8,33.8
0.14,7.14,0.056,0.23,92.434,1126.0,28.7
0.14,7.14,0.056,0.23,92.434,1337.5,17.9
0.14,7.14,0.056,0.23,92.434,1533.4,10.4
0.19,4.39,0.01,0.0,95.41,950.0,2.5
0.19,4.39,0.01,0.0,95.41,895.0,2.0
0.19,4.39,0.01,0.0,95.41,781.0,7.3
0.19,4.39,0.01,0.0,95.41,737.0,12.3
0.19,4.39,0.01,0.0,95.41,733.0,35.3
0.19,4.39,0.01,0.0,95.41,957.0,30.8
0.19,4.39,0.01,0.0,95.41,1353.0,8.4
0.19,4.39,0.01,0.0,95.41,1601.0,6.5
0.189,4.45,0.48,0.0,94.881,889.0,2.6
0.189,4.45,0.48,0.0,94.881,862.0,2.7
0.189,4.45,0.48,0.0,94.881,781.0,11.4
0.189,4.45,0.48,0.0,94.881,737.0,13.1
0.189,4.45,0.48,0.0,94.881,726.0,18.4
0.189,4.45,0.48,0.0,94.881,855.0,34.2
0.189,4.45,0.48,0.0,94.881,1322.0,12.6
0.189,4.45,0.48,0.0,94.881,1477.0,9.3
0.195,4.52,1.3,0.0,93.98500000000001,911.0,5.6
0.195,4.52,1.3,0.0,93.98500000000001,849.0,9.5
0.195,4.52,1.3,0.0,93.98500000000001,753.0,10.5
0.195,4.52,1.3,0.0,93.98500000000001,711.0,11.8
0.195,4.52,1.3,0.0,93.98500000000001,683.0,16.8
0.195,4.52,1.3,0.0,93.98500000000001,702.0,19.9
0.195,4.52,1.3,0.0,93.98500000000001,977.0,25.7
0.195,4.52,1.3,0.0,93.98500000000001,1226.0,14.2
0.1,4.5,0.0,0.0,95.4,844.0,1.0
0.1,4.5,0.0,0.0,95.4,795.0,2.7
0.1,4.5,0.0,0.0,95.4,730.0,10.2
0.1,4.5,0.0,0.0,95.4,710.0,11.8
0.1,4.5,0.0,0.0,95.4,759.0,32.3
0.1,4.5,0.0,0.0,95.4,900.0,16.2
0.1,4.5,0.0,0.0,95.4,1096.0,9.8
0.1,4.5,0.0,0.0,95.4,1253.0,7.8
0.14,7.39,1.55,0.2,90.72,930.0,14.3
0.14,7.39,1.55,0.2,90.72,919.0,10.2
0.14,7.39,1.55,0.2,90.72,1120.0,35.4
0.09,13.9,2.01,2.07,81.92999999999999,1060.0,39.6
0.27,11.1,1.49,1.37,85.77000000000001,1330.0,23.3
0.08,15.1,1.4,1.95,81.47,1160.0,39.6
0.16,14.3,0.89,2.97,81.68,1370.0,33.5
0.17,10.2,0.3,2.38,86.95,1400.0,33.1
0.11,11.5,0.38,2.46,85.55000000000001,1300.0,25.4
0.1,13.8,0.4,2.01,83.69,1320.0,24.0
0.1,13.0,0.45,1.57,84.88000000000001,1450.0,27.0
0.11,4.86,0.0,0.0,95.03,812.0,9.5
0.11,4.86,0.0,0.0,95.03,777.0,16.4
0.11,4.86,0.0,0.0,95.03,857.0,24.1
0.11,4.86,0.0,0.0,95.03,1027.0,13.2
0.17,4.72,0.0,0.0,95.11,809.0,16.4
0.17,4.72,0.0,0.0,95.11,917.0,18.7
0.17,4.72,0.0,0.0,95.11,1101.0,14.8
0.17,4.72,0.0,0.0,95.11,1326.0,9.3
0.25,7.17,2.6,0.0,89.98,873.0,18.4
0.25,7.17,2.6,0.0,89.98,889.0,22.7
0.25,7.17,2.6,0.0,89.98,884.0,27.2
0.25,7.17,2.6,0.0,89.98,942.0,59.9
0.25,7.17,2.6,0.0,89.98,910.0,49.7
0.16,3.95,0.0,0.5,95.39,1105.0,0.6
0.16,3.95,0.0,0.5,95.39,1094.0,14.2
0.16,3.95,0.0,0.5,95.39,1084.0,17.3
0.16,3.95,0.0,0.5,95.39,1187.0,15.1
0.16,3.95,0.0,0.5,95.39,1465.0,8.6
0.16,3.95,0.0,0.5,95.39,1726.0,5.0
0.16,3.95,0.0,0.5,95.39,1694.0,4.5
0.16,3.95,0.0,0.5,95.39,1046.0,17.8
0.16,3.95,0.0,0.5,95.39,972.8,21.6
0.16,3.95,0.0,0.5,95.39,1031.0,20.2
0.16,3.95,0.0,0.5,95.39,955.7,23.6
0.16,3.95,0.0,0.5,95.39,921.8,15.2
0.16,3.95,0.0,0.5,95.39,1122.0,27.4
0.16,3.95,0.0,0.5,95.39,1022.0,28.7
0.16,3.95,0.0,0.5,95.39,1083.0,37.2
0.16,3.95,0.0,0.5,95.39,1095.0,41.5
0.16,3.95,0.0,0.5,95.39,1082.0,42.0
0.15,10.0,1.5,0.0,88.35,993.0,42.8
0.15,10.0,1.5,0.0,88.35,1229.0,26.4
0.15,10.0,1.5,0.0,88.35,1420.0,28.8
0.15,10.0,1.5,0.0,88.35,1537.0,23.1
0.15,10.0,1.5,0.0,88.35,1549.0,21.4
0.05,12.0,3.0,0.0,84.95,938.0,8.1
0.05,12.0,3.0,0.0,84.95,827.0,14.2
0.05,12.0,3.0,0.0,84.95,786.0,24.5
0.05,12.0,3.0,0.0,84.95,804.0,29.2
0.05,12.0,3.0,0.0,84.95,941.0,7.9
0.05,12.0,3.0,0.0,84.95,777.8,13.4
0.3,7.0,2.0,0.0,90.7,958.9,21.0
0.3,7.0,2.0,0.0,90.7,1025.2,65.5
0.3,7.0,2.0,0.0,90.7,1220.2,37.4
0.22,7.2,2.4,0.0,90.17999999999999,898.6,21.4
0.22,7.2,2.4,0.0,90.17999999999999,989.3,59.6
0.22,7.2,2.4,0.0,90.17999999999999,1155.4,41.1
0.22,7.2,2.4,0.0,90.17999999999999,1091.0,43.4
0.22,7.2,2.4,0.0,90.17999999999999,1255.1,29.9
0.092,5.91,0.028,0.017,93.953,781.2,13.0
0.092,5.91,0.028,0.017,93.953,767.5,36.0
0.092,5.91,0.028,0.017,93.953,848.0,35.6
0.092,5.91,0.028,0.017,93.953,961.9,26.9
0.092,5.91,0.028,0.017,93.953,1130.7,15.9
0.092,5.91,0.028,0.017,93.953,1331.0,10.6
0.092,5.91,0.028,0.017,93.953,1427.2,9.3
0.1,6.38,0.0,0.0,93.52000000000001,776.4,12.8
0.1,6.38,0.0,0.0,93.52000000000001,768.8,31.0
0.1,6.38,0.0,0.0,93.52000000000001,825.4,28.8
0.1,6.38,0.0,0.0,93.52000000000001,915.8,22.6
0.1,6.38,0.0,0.0,93.52000000000001,1168.3,15.8
0.1,6.38,0.0,0.0,93.52000000000001,1270.1,10.0
0.1,6.38,0.0,0.0,93.52000000000001,1405.8,7.3
0.12,6.1,0.0,1.5,92.28,1203.6,22.1
0.15,6.09,1.849,0.969,90.942,1200.0,20.5
0.15,6.09,1.849,0.969,90.942,1200.0,23.8
0.15,6.09,1.849,0.969,90.942,1400.0,12.2
0.15,6.09,1.849,0.969,90.942,1350.0,12.5
0.15,6.09,1.849,0.969,90.942,1400.0,15.0
0.52,7.75,2.78,0.0,88.95,1090.0,47.4
0.086,8.05,0.021,0.138,91.705,1235.0,20.7
0.086,8.05,0.021,0.138,91.705,1307.0,26.9
0.28,6.2,0.0,1.6,91.92,1260.0,32.7
0.056,8.9,1.0,1.54,88.50399999999999,1070.3,23.2
0.056,8.9,1.0,1.54,88.50399999999999,1157.0,22.0
0.056,8.9,1.0,1.54,88.50399999999999,1150.5,24.4
0.056,8.9,1.0,1.54,88.50399999999999,1145.8,21.5
0.208,5.11,2.47,0.0,92.212,1123.3,17.1
0.208,5.11,2.47,0.0,92.212,1343.8,17.4
0.208,5.11,2.47,0.0,92.212,1440.3,12.6
0.12,7.0,0.0,0.3,92.58,1132.3,34.3
0.12,7.0,0.0,0.3,92.58,1053.4,20.3
0.1,4.91,0.008,2.04,92.94200000000001,849.0,25.6
0.1,4.91,0.008,2.04,92.94200000000001,939.0,16.5
0.1,4.91,0.008,2.04,92.94200000000001,1064.0,15.2
0.1,4.91,0.008,2.04,92.94200000000001,1208.0,9.2
0.06,5.5,0.03,0.2,94.21,1109.5,17.5
0.06,5.5,0.03,0.2,94.21,1089.9,15.6
0.06,5.5,0.03,0.2,94.21,1073.2,13.7
0.06,5.5,0.03,0.2,94.21,1053.3,12.8
0.06,5.5,0.03,0.2,94.21,1014.6,8.3
0.06,5.5,0.03,0.2,94.21,1204.6,11.0
0.06,5.5,0.03,0.2,94.21,1412.7,5.7
0.2,5.0,0.0,2.5,92.3,931.1,34.4
0.2,5.0,0.0,2.5,92.3,1128.5,28.0
0.2,5.0,0.0,2.5,92.3,1249.0,19.4
0.22,11.2,1.95,0.0,86.63,1398.3,2.0
0.22,11.2,1.95,0.0,86.63,1249.7,40.5
0.22,11.2,1.95,0.0,86.63,1536.2,24.2
0.22,11.2,1.95,0.0,86.63,1708.8,16.3
0.22,11.2,1.95,0.0,86.63,1669.7,15.2
0.22,11.2,1.95,0.0,86.63,1273.6,48.6
0.22,11.2,1.95,0.0,86.63,1336.1,39.7
0.22,11.2,1.95,0.0,86.63,1329.5,33.5
0.05,8.51,0.08,0.29,91.07,1193.0,22.2
0.093,7.22,0.013,0.49,92.184,1402.0,19.5
0.18,8.0,0.0,0.0,91.82,1047.0,30.2
0.18,8.0,0.0,0.0,91.82,1458.0,29.6
0.18,8.0,0.0,0.0,91.82,2004.0,11.6
0.1,13.8,0.4,2.01,83.69,1316.0,24.0
0.17,10.2,0.3,2.38,86.95,1404.0,33.2
0.4,8.0,3.0,2.0,86.6,1217.0,38.6
0.3,6.0,3.0,1.5,89.2,905.0,19.6
0.3,6.0,3.0,1.5,89.2,926.0,41.4
0.3,6.0,3.0,1.5,89.2,977.0,47.0
0.3,6.0,3.0,1.5,89.2,984.0,42.9
0.3,6.0,3.0,1.5,89.2,1130.0,36.0
0.3,6.0,3.0,1.5,89.2,1129.0,31.6
0.3,6.0,3.0,1.5,89.2,1365.0,16.6
0.45,10.0,1.0,0.0,88.55,1027.0,46.0
0.092,4.6,0.0,0.0,95.308,950.0,15.9
0.092,4.6,0.0,0.0,95.308,951.0,17.5
0.092,4.6,0.0,0.0,95.308,933.0,15.5
0.092,4.6,0.0,0.0,95.308,959.0,15.5
0.092,4.6,0.0,0.0,95.308,868.0,21.0
0.092,4.6,0.0,0.0,95.308,977.0,13.1
0.092,4.6,0.0,0.0,95.308,961.0,14.3
0.092,4.6,0.0,0.0,95.308,950.0,13.2
0.092,4.6,0.0,0.0,95.308,955.0,12.0
0.1,4.7,0.0,0.0,95.2,764.1,13.5
0.1,4.7,0.0,0.0,95.2,773.2,20.7
0.1,4.7,0.0,0.0,95.2,788.0,23.7
0.1,4.7,0.0,0.0,95.2,824.5,23.2
0.1,4.7,0.0,0.0,95.2,825.6,24.9
0.1,4.7,0.0,0.0,95.2,906.6,19.2
0.1,4.7,0.0,0.0,95.2,880.3,22.0
0.1,4.7,0.0,0.0,95.2,895.2,21.6
0.1,4.7,0.0,0.0,95.2,903.1,19.1
0.1,4.7,0.0,0.0,95.2,868.9,14.2
0.25,4.0,1.88,0.6,93.27000000000001,913.0,11.4
0.25,4.0,1.88,0.6,93.27000000000001,951.0,44.4
0.25,4.0,1.88,0.6,93.27000000000001,1143.0,27.1
0.25,4.0,1.88,0.6,93.27000000000001,1251.0,19.6
0.3,6.0,3.0,1.5,89.2,905.0,19.6
0.3,6.0,3.0,1.5,89.2,926.0,41.4
0.3,6.0,3.0,1.5,89.2,977.0,47.0
0.3,6.0,3.0,1.5,89.2,984.0,42.9
0.3,6.0,3.0,1.5,89.2,1130.0,36.0
0.3,6.0,3.0,1.5,89.2,1129.0,31.6
0.3,6.0,3.0,1.5,89.2,1365.0,16.6
0.1,6.38,0.0,0.0,93.52000000000001,808.7,12.5
0.1,6.38,0.0,0.0,93.52000000000001,787.4,20.3
0.1,6.38,0.0,0.0,93.52000000000001,811.4,32.2
0.1,6.38,0.0,0.0,93.52000000000001,888.8,30.5
0.1,6.38,0.0,0.0,93.52000000000001,1038.3,20.9
0.1,6.38,0.0,0.0,93.52000000000001,1283.8,13.5
0.1,6.38,0.0,0.0,93.52000000000001,1350.5,7.6
0.12,6.1,0.0,1.5,92.28,957.5,27.5
0.12,6.1,0.0,1.5,92.28,992.8,26.4
0.12,6.1,0.0,1.5,92.28,1105.0,22.8
0.12,6.1,0.0,1.5,92.28,1083.0,28.6
0.11,4.86,0.0,0.0,95.03,780.0,10.1
0.11,4.86,0.0,0.0,95.03,760.0,11.6
0.11,4.86,0.0,0.0,95.03,821.0,24.3
0.11,4.86,0.0,0.0,95.03,1039.0,15.6
0.17,4.72,0.0,0.0,95.11,785.0,11.3
0.17,4.72,0.0,0.0,95.11,895.0,19.2
0.17,4.72,0.0,0.0,95.11,1059.0,9.3
0.17,4.72,0.0,0.0,95.11,1252.0,9.0
0.28,9.33,2.6,0.0,87.79,959.0,34.3
0.2,5.0,0.0,0.0,94.8,934.7,10.2
0.2,5.0,0.0,0.0,94.8,893.1,18.4
0.2,5.0,0.0,0.0,94.8,879.2,19.8
0.2,5.0,0.0,0.0,94.8,887.1,28.6
0.2,5.0,0.0,0.0,94.8,920.8,33.6
0.2,5.0,0.0,0.0,94.8,912.9,37.5
0.18,6.4,2.8,0.5,90.11999999999999,717.0,18.6
0.18,6.4,2.8,0.5,90.11999999999999,737.0,40.5
0.18,6.4,2.8,0.5,90.11999999999999,753.0,45.5
0.18,6.4,2.8,0.5,90.11999999999999,762.0,44.7
0.18,6.4,2.8,0.5,90.11999999999999,1018.0,21.9
0.18,6.4,2.8,0.5,90.11999999999999,910.0,33.8
0.18,6.4,2.8,0.5,90.11999999999999,914.0,36.2
0.18,6.4,2.8,0.5,90.11999999999999,955.0,34.6
0.18,6.4,2.8,0.5,90.11999999999999,961.0,28.3
0.12,5.13,0.0,0.009,94.741,753.0,9.1
0.12,5.13,0.0,0.009,94.741,785.0,11.2
0.12,5.13,0.0,0.009,94.741,802.0,28.6
0.12,5.13,0.0,0.009,94.741,1013.0,17.6
0.12,5.13,0.0,0.009,94.741,1205.0,10.8
0.12,5.13,0.0,0.009,94.741,1408.0,4.2
0.12,5.13,0.0,0.009,94.741,719.0,9.9
0.12,5.13,0.0,0.009,94.741,762.0,11.9
0.12,5.13,0.0,0.009,94.741,818.0,24.9
0.12,5.13,0.0,0.009,94.741,989.0,20.9
0.12,5.13,0.0,0.009,94.741,1176.0,15.6
0.12,5.13,0.0,0.009,94.741,1203.0,5.1
0.1,5.25,0.0,2.09,92.56,919.0,13.1
0.1,5.25,0.0,2.09,92.56,943.0,14.1
0.1,5.25,0.0,2.09,92.56,1004.0,29.1
0.1,5.25,0.0,2.09,92.56,1071.0,25.0
0.1,5.25,0.0,2.09,92.56,1239.0,17.6
0.1,5.25,0.0,2.09,92.56,1589.0,4.3
0.1,5.25,0.0,2.09,92.56,898.0,13.9
0.1,5.25,0.0,2.09,92.56,922.0,14.9
0.1,5.25,0.0,2.09,92.56,981.0,22.4
0.1,5.25,0.0,2.09,92.56,1050.0,28.0
0.1,5.25,0.0,2.09,92.56,1174.0,18.5
0.1,5.25,0.0,2.09,92.56,1385.0,7.8
0.1,5.25,0.0,2.09,92.56,998.0,9.5
0.1,5.25,0.0,2.09,92.56,914.0,11.1
0.1,5.25,0.0,2.09,92.56,978.0,14.5
0.1,5.25,0.0,2.09,92.56,1079.0,24.0
0.1,5.25,0.0,2.09,92.56,1240.0,13.4
0.1,5.25,0.0,2.09,92.56,1438.0,2.3
0.011,5.22,0.019,0.006,94.744,792.0,12.2
0.011,5.22,0.019,0.006,94.744,825.0,9.8
0.075,5.24,0.056,0.006,94.623,887.0,17.9
0.075,5.24,0.056,0.006,94.623,887.0,15.9
0.12,5.1,0.064,0.009,94.70700000000001,1104.0,22.9
0.12,5.1,0.064,0.009,94.70700000000001,1045.0,23.5
0.3,5.06,0.022,0.019,94.59899999999999,1368.0,15.2
0.3,5.06,0.022,0.019,94.59899999999999,1586.0,21.4
0.4,5.17,0.029,0.008,94.393,1528.0,9.9
0.4,5.17,0.029,0.008,94.393,1696.0,19.8
0.3,4.0,1.82,0.6,93.28000000000002,858.8,13.4
0.3,4.0,1.82,0.6,93.28000000000002,886.0,49.2
0.3,4.0,1.82,0.6,93.28000000000002,1005.1,37.5
0.3,4.0,1.82,0.6,93.28000000000002,1124.2,25.1
0.3,4.0,1.82,0.6,93.28000000000002,1230.7,16.5
0.3,4.0,1.82,0.6,93.28000000000002,1310.1,11.5
0.19,4.02,0.031,0.5,95.259,1514.0,4.1
0.19,4.02,0.031,0.5,95.259,969.0,5.6
0.19,4.02,0.031,0.5,95.259,942.0,6.8
0.19,4.02,0.031,0.5,95.259,927.0,14.6
0.19,4.02,0.031,0.5,95.259,1111.0,20.2
0.17,3.99,0.025,0.5,95.315,1422.0,3.7
0.17,3.99,0.025,0.5,95.315,946.0,6.4
0.17,3.99,0.025,0.5,95.315,922.0,7.9
0.17,3.99,0.025,0.5,95.315,901.0,16.5
0.17,3.99,0.025,0.5,95.315,1067.0,19.3
0.15,4.02,0.027,0.49,95.313,1374.0,3.6
0.15,4.02,0.027,0.49,95.313,1008.0,6.6
0.15,4.02,0.027,0.49,95.313,979.0,7.3
0.15,4.02,0.027,0.49,95.313,953.0,14.6
0.15,4.02,0.027,0.49,95.313,1113.0,18.1
0.28,6.2,0.0,1.6,91.92,1212.1,11.8
0.28,6.2,0.0,1.6,91.92,1243.8,23.0
0.28,6.2,0.0,1.6,91.92,1282.1,17.9
0.3,9.3,2.15,0.028,88.222,1017.2,25.5
0.3,9.3,2.15,0.028,88.222,1111.8,46.8
0.3,9.3,2.15,0.028,88.222,1123.3,45.1
0.3,9.3,2.15,0.028,88.222,1120.6,47.0
0.3,9.3,2.15,0.028,88.222,1183.4,1.0
0.3,9.3,2.15,0.028,88.222,1182.3,11.8
0.3,9.3,2.15,0.028,88.222,994.8,30.7
0.3,9.3,2.15,0.028,88.222,969.3,47.1
