C,Mn,Al,Si,Fe,UTS,UE,SDI
0.62,17.65,0.01,0.01,81.71,1118,71,11.4764339
0.62,24.5,0,0,74.88,1000,76.1,11.29310061
0.59,17.7,0.03,1.59,80.09,1164,64.6,11.18778785
0.6,22,0,0,77.4,1074,69.1,11.09776198
0.59,17.7,0,1.59,80.12,1249,58,11.08099538
0.3,10,3,2,84.7,1148,62.4,10.92691061
0.25,8.67,2.69,0.54,87.85,1138,62.4,10.87609563
0.56,21.68,0,0.06,77.7,909.7,77.8,10.97300249
1.2,30.5,2.1,0,66.2,935,75,10.8730166
0.3,9,5,0,85.7,785,87.7,11.14741939
0.25,8.67,2.69,0.54,87.85,1143,59.4,10.65663049
0.58,17.48,1.42,0,80.52,844,80.4,10.85137102
0.3,7,2,0,90.7,1025.2,65.5,10.55593771
0.62,17.65,0.02,0,81.71,954.9,70.3,10.59050461
0.6,18,0,0,81.4,1124,59.4,10.56008202
0.4,6.25,2.24,0,91.11,1067.6,60.3,10.34694732
0.61,22.2,0,0.18,77.01,961.7,65.9,10.26591227
0.11,8.1,1.8,0.6,89.39,1106,57,10.27271695
1.2,12,0,0,86.8,1112.269164,56.51786957,10.26522018
2,30,9.5,0,58.5,1161.3,53.3,10.25171421
0.22,11.2,1.95,0,86.63,1273.6,48.6,10.43873264
0.3,9,5,0,85.7,874,70.8,10.22022353
0.7,15,2,2,80.3,1146,53.2,10.16580486
0.95,17,0,0,82.05,1121.555658,54.18762207,10.12220486
0.71,23.5,0.01,0.06,75.72,953.5,63.4,10.02018345
1.2,22,0,0,76.8,1069.206989,56.51786957,10.04639982
0.04,20.1,2.9,2.8,74.16,840,71.3,10.0882647
0.7,15,2,2,80.3,955.5,62.4,9.948722236
0.57,22,0,0,77.43,775.9009019,76.82670514,10.21365821
0.58,17.51,1.54,0.05,80.32,925.8,64.3,9.952887747
0.04,20.1,2.9,2.8,74.16,840.5,70.6,10.0336685
0.56,21.68,0,0.06,77.7,1250.2,47.2,10.20555169
0.22,7.2,2.4,0,90.18,989.3,59.6,9.891929076
0.75,18,1.7,0.5,79.05,903.2,65.2,9.911507682
0.56,19.01,0.96,0,79.47,931,62.8,9.856875219
0.6,18,1.2,0,80.2,995,58.5,9.831106982
1.2,30.5,8,0,60.3,895,65,9.853514555
0.4,6.25,2.24,0,91.11,1392.2,41.6,10.47002882
0.75,18,1.7,0.5,79.05,1088.9,53.1,9.867488904
0.68,18.84,1.49,0.05,78.94,830,68.5,9.808901924
0.25,7.17,2.6,0,89.98,942,59.9,9.676061482
0.56,21.68,0,0.06,77.7,1293.7,43.6,10.13274969
0.25,7.17,2.6,0,89.98,943,59.8,9.672980559
0.6,21.59,0,0,77.81,857,65.5,9.701229735
0.7,15,2,2,80.3,1101.2,50.7,9.73409322
0.6,16.85,1.14,0.06,81.35,979,56.9,9.619204273
0.59,21.95,0.01,3.04,74.41,1191,46.7,9.863914897
0.75,18,1.7,0.5,79.05,1023.7,54.2,9.625961864
0.6,18,1.5,0,79.9,966,57.3,9.585794483
0.53,17.88,0,0.08,81.51,982.3,55.9,9.554349005
0.3,8.5,5.6,0,85.6,732.1,74.8,9.825655801
0.2,8.5,3,0,88.3,995.5,54.6,9.515313303
0.63,21.78,2.97,0,74.62,675.2,80.4,9.99361415
0.17,5.6,1.2,0,93.03,1191.2,45.3,9.7506573
0.3,6,3,1.5,89.2,1053,51,9.513652278
0.32,5.8,5,0,88.88,910.4,58.4,9.393049825
0.22,11.2,1.95,0,86.63,1336.1,39.7,10.02987078
0.25,8.67,2.69,0.54,87.85,1094,48.2,9.493445904
0.3,9.3,2.15,0.028,88.222,1120.6,47,9.530664698
0.03,26.5,2.8,3,67.67,649.3,80.2,9.845678508
0.3,9.3,2.15,0.028,88.222,1111.8,46.8,9.469622672
0.38,26.5,3.6,2.2,67.32,731,71,9.509894147
0.2,4.88,3.11,0.62,91.19,852.7,60.7,9.287583075
0.52,7.75,2.78,0,88.95,1090,47.4,9.407820542
1,28,12,0,59,884.6,58.4,9.261947175
0.7,15,2,2,80.3,834,61.9,9.290508116
0.58,19.07,2.02,0,78.33,860,59.4,9.218566535
0.03,25.6,2.8,3,68.57,639.5,79.7,9.755067721
0.3,9.3,2.15,0.028,88.222,1123.3,45.1,9.389298739
0.22,11.2,1.95,0,86.63,1249.7,40.5,9.656128717
1,30,0,0,69,886.6154377,56.67446572,9.131343241
0.6,18,2.5,0,78.9,890,56.2,9.109813998
0.42,22,0,0,77.58,725.9095891,68.20276497,9.255705128
1.27,28.4,8.3,0.25,61.78,884.5,55.7,9.041053652
0.7,15,2,2,80.3,773.4,63.7,9.129492916
1.01,27.95,8.65,0.54,61.85,822,59.8,9.058119294
0.25,7.17,2.6,0,89.98,937,52.2,9.022147558
0.3,9.3,2.15,0.028,88.222,1000,48.9,9.072922035
0.61,19.01,0.96,0,79.42,890,54.9,9.003702522
0.06,18.2,1.8,4.3,75.64,899.5,54.2,8.994839805
0.143,10.07,1.68,0.2,87.907,1088,44.8,9.185434594
0.17,5.6,1.2,0,93.03,1166.7,41.7,9.332313433
0,31,3,3,63,595.4,81.6,9.68605966
0.38,26.5,3.6,2.2,67.32,769,63,9.049997376
0.23,8.1,5.3,0.01,86.36,949,51,8.98517648
0.47,22.38,0,0.17,76.98,938.2,51.2,8.946621143
2,30,9.5,0,58.5,1509.7,31.8,10.26718757
0.36,30,3.1,1.9,64.64,738,65,9.05571936
0.75,18,1.7,0.5,79.05,1089.4,43.9,9.1190869
0.53,15.44,1.9,0.11,82.02,962,49.7,8.945124478
0.32,5.8,5,0,88.88,923.7,51.7,8.913751527
0.86,22.8,8.48,0,67.86,757.3,62.8,8.974219006
0.2,4.88,3.11,0.62,91.19,866,54.9,8.881746568
0.32,5.8,5,0,88.88,920.9,51.6,8.891360911
0.22,7.2,2.4,0,90.18,1155.4,41.1,9.225917978
0.22,7.2,2.4,0,90.18,1091,43.4,9.086405191
0.27,28.5,0,0,71.23,797,59.3,8.890269736
0.45,10,1,0,88.55,1027,46,8.973412267
0.4,8,3,2,86.6,1217,38.6,9.334877728
0.2,4.88,3.11,0.62,91.19,1103.3,42.3,9.059120984
0.2,4.88,3.11,0.62,91.19,931,50.1,8.820247724
0.17,10.2,0.3,2.38,86.95,1404,33.2,9.844347119
0.2,4.88,3.11,0.62,91.19,1006,46.2,8.88302565
0.02,28.7,2,4,65.28,735.8,63.1,8.889454061
0.17,10.2,0.3,2.38,86.95,1400,33.1,9.815858705
0.8,31.52,8.73,0,58.95,749.2,61.8,8.851434659
0.2,4.88,3.11,0.62,91.19,1054,43.9,8.939201869
0.15,7,1,0.3,91.55,1011.4,45.6,8.861491212
0.2,4.88,3.11,0.62,91.19,842,54.7,8.743465773
0.08,15.1,1.4,1.95,81.47,1160,39.6,9.126856551
0.3,6,3,1.5,89.2,977,47,8.800961576
0.3,6,3,1.5,89.2,977,47,8.800961576
0.16,14.3,0.89,2.97,81.68,1370,33.5,9.696063448
0.02,29.2,2.8,3,64.98,609.3,75.2,9.234297525
0.25,8.67,2.69,0.54,87.85,1062,43,8.906392062
0.2,4.88,3.11,0.62,91.19,897,50.9,8.712776159
0.3,9.3,2.15,0.028,88.222,969.3,47.1,8.769996463
0.3,7,2,0,90.7,1220.2,37.4,9.253189467
1.27,28.4,8.3,0.25,61.78,962.5,47.4,8.759929539
0.004,29.99,1.98,4.06,63.966,650,70,9.016668592
0.16,3.95,0,0.5,95.39,1082,42,8.926397811
0.16,3.95,0,0.5,95.39,1095,41.5,8.95164518
0.2,8.5,3,0,88.3,997.6,45.5,8.783204118
1,28,12,0,59,889.6,51,8.683335495
0.25,7.17,2.6,0,89.98,910,49.7,8.680886579
0.11,8.1,1.8,0.6,89.39,1290,35,9.411979922
0.92,28.8,9.37,0.035,60.875,869,51.8,8.643956005
0.62,17.65,0.02,0,81.71,880,51,8.634553114
0.6,22,0,0,77.4,821.3788625,54.4963059,8.622053132
0.22,11.2,1.95,0,86.63,1329.5,33.5,9.490262777
0.8,31.52,8.73,0,58.95,764.8,57.8,8.60420918
0.8,31.52,8.73,0,58.95,844.2,52.1,8.542422117
1.12,29.6,10.46,0,58.82,855,51.4,8.540165347
0,31,3,3,63,689.3,63.7,8.702138929
0.36,30,3.1,1.9,64.64,718,61,8.62759255
0.36,30,3.1,1.9,64.64,754,58,8.565653844
0.3,12,3,0,84.7,943.2,46.3,8.572069993
1.2,30.5,8,0,60.3,1180,37,9.01626356
0.3,4,1.82,0.6,93.28,886,49.2,8.51811852
0.92,28.8,9.37,0.035,60.875,789,55,8.498633639
1.11,29.8,7.65,0.09,61.35,746,58,8.525001859
0.18,8,0,0,91.82,1458,29.6,9.82490085
0.2,4.72,0,0,95.08,1304.9,32.7,9.299958555
0.15,10,1.5,0,88.35,993,42.8,8.539443854
0.92,28.8,9.37,0.035,60.875,868,48.9,8.402164291
0.32,5.8,5,0,88.88,807.8,52.5,8.390105272
0.03,25.5,1.8,3.9,68.77,728.6,58.2,8.452908635
0.36,30,3.1,1.9,64.64,757,56,8.417649913
0.22,11.2,1.95,0,86.63,1403.4,30.2,9.596425583
0.22,11.2,1.95,0,86.63,1403.4,30.2,9.596425583
0.6,18,1.5,0,79.9,859.3,49.3,8.390604943
0.25,4,1.88,0.6,93.27,951,44.4,8.456619675
0.3,6,3,1.5,89.2,984,42.9,8.501872793
0.3,6,3,1.5,89.2,984,42.9,8.501872793
0.11,8.1,1.8,0.6,89.39,1405,30,9.588231138
0.32,21.75,1.26,0.04,76.63,738,57,8.402725663
0.09,13.9,2.01,2.07,81.93,1060,39.6,8.618706745
0.38,26.5,3.6,2.2,67.32,838,50,8.339505983
0.5,30,0,0,69.5,754.2492699,55.42607023,8.356825519
0.32,5.8,5,0,88.88,889.9,46.7,8.333875832
0.8,31.52,8.73,0,58.95,895.6,46.2,8.322028265
0.28,6.2,0,1.6,91.92,1260,32.7,9.071799292
0.6,18,1.5,0,79.9,687.4,59.9,8.382312076
0.7,12,5.5,0,81.8,1001.8,41.1,8.445399876
0.03,25.6,3.8,2,68.57,568.5,72.2,8.782099767
0.21,10.75,6.08,0,82.96,662,61.9,8.41649045
0,31,3,3,63,724,56.5,8.290772584
0.15,10,1.5,0,88.35,1420,28.8,9.566504554
0,31,3,3,63,648,63.1,8.443298532
0.15,6,1,1.5,91.35,1031.6,39.6,8.4743922
0.3,6,3,1.5,89.2,1130,36,8.680564445
0.3,6,3,1.5,89.2,1130,36,8.680564445
1.11,29.8,7.65,0.09,61.35,923,43.8,8.265363202
0.16,3.95,0,0.5,95.39,1083,37.2,8.539683091
0,31,3,3,63,575,70,8.635556238
0.92,28.8,9.37,0.035,60.875,801,50,8.151490555
0.38,26.5,3.6,2.2,67.32,751,53,8.142288288
0.14,7.14,0.056,0.23,92.434,1067.6,37.2,8.461428021
0.38,26.5,3.6,2.2,67.32,827,48,8.12036108
0.14,7.39,1.55,0.2,90.72,1120,35.4,8.580774937
0,31,3,3,63,519,76.3,8.865224883
0.52,29.8,2.73,2.96,63.99,725,54.5,8.132605657
0.08,12.8,0,0,87.12,1329,29.7,9.177550022
0.4,12,0,0,87.6,1137,34.6,8.601861034
0.6,18,1.5,0,79.9,663.3,59.3,8.210873446
0.57,12.4,1.4,0.4,85.23,770,51,8.075588327
0.75,28.89,9.48,0.035,60.845,822,47.7,8.070466326
2,30,9.5,0,58.5,1561.3,25.1,9.982510644
0.1,13,0.45,1.57,84.88,1450,27,9.572025914
0.59,16.42,0,3,79.99,963,40.6,8.207425645
0.56,21.68,0,0.06,77.7,1432.1,27.3,9.505554362
0.92,28.8,9.37,0.035,60.875,979,39.8,8.223430245
0.12,7,0,0.3,92.58,1132.3,34.3,8.55349073
0.95,27.02,11.5,0.59,59.94,925.9,41.9,8.125013543
0.2,8.5,3,0,88.3,1119.2,34.5,8.503247948
0.32,16.8,1.47,0.03,81.38,702,55,8.056543308
0.36,30,3.1,1.9,64.64,772,50,8.004127111
0.15,6,1,1.5,91.35,1201.5,32.1,8.725557129
0.3,6,3,1.5,89.2,926,41.4,8.084709587
0.3,6,3,1.5,89.2,926,41.4,8.084709587
0.3,25,1,0,73.7,687.1,55.7,8.037965936
0.3,25,1,0,73.7,639.6,59.5,8.106766784
0.6,18,1.5,0,79.9,723.6,52.2,7.937755872
0.3,4,1.82,0.6,93.28,1005.1,37.5,8.168321656
0.26,10.1,6.3,0,83.34,783.7,47.9,7.892169793
0.22,7.2,2.4,0,90.18,1255.1,29.9,8.818352158
0.3,25,1,0,73.7,770.5,48.6,7.882230967
0.57,12.4,1.4,0.4,85.23,925,40.3,7.989841456
0.31,22.28,0,0.12,77.29,820.8,45.4,7.87663284
0.22,11.2,1.95,0,86.63,1536.2,24.2,9.781503252
0.03,18.1,3.5,1.8,76.57,739.4,50.2,7.854795117
0.23,3,1.7,0.6,94.47,1234,30,8.71929497
0.143,7.39,1.55,0.2,90.717,831,44.5,7.855002329
0.57,12.4,1.4,0.4,85.23,870,42.5,7.889932329
0.96,13.08,0,1.23,84.73,904,40.9,7.932104524
0.26,10.1,6.3,0,83.34,761.1,48.5,7.826302464
0.8,15,7,0,77.2,1051,35.1,8.205664307
0.92,28.8,9.37,0.035,60.875,997,37,8.086349415
0.75,18,1.7,0.5,79.05,1271.4,28.9,8.819556364
0.36,30,3.1,1.9,64.64,765,48,7.8053082
0.38,26.5,3.6,2.2,67.32,733,50,7.805948687
0.14,7.14,0.056,0.23,92.434,1051.6,34.8,8.184225943
0.81,26.8,12.32,0,60.07,955,38,7.954550709
0.14,7.14,0.056,0.23,92.434,1063.8,33.8,8.164596007
0.14,7.14,0.056,0.23,92.434,1092.1,32.9,8.234940611
0.02,17.9,2.9,3.2,75.98,937.9,38.3,7.892144356
0.32,5.8,5,0,88.88,882.1,40.7,7.804494874
0.14,7.14,0.056,0.23,92.434,1029.7,34.8,8.072941135
0.57,12.4,1.4,0.4,85.23,800,44.7,7.713800732
0.3,6,3,1.5,89.2,1129,31.6,8.316336413
0.3,6,3,1.5,89.2,1129,31.6,8.316336413
0,31,3,3,63,776.5,45.8,7.684172161
0.15,10,1.5,0,88.35,1537,23.1,9.695781817
0.02,15.8,2.9,3,78.28,930.4,37.8,7.813221015
0.086,8.05,0.021,0.138,91.705,1307,26.9,8.83720927
0.004,29.99,1.98,4.06,63.966,748,47,7.637298521
0.17,5.6,1.2,0,93.03,1161.8,30.2,8.368735652
0.19,4.99,0,1.98,92.84,1079,32.4,8.12756088
0.26,10.1,6.3,0,83.34,806.3,43.3,7.631540273
0.01,30.6,3.9,2,63.49,534.6,65.2,8.038467498
0.14,7.14,0.056,0.23,92.434,1095.5,31.7,8.15426865
0.15,7,0,0.2,92.65,1200,28.9,8.456737402
0.14,7.14,0.056,0.23,92.434,1044.1,33.2,8.015515968
0.7,12,5.5,0,81.8,1056.2,32.7,8.036189988
0.51,15.45,1.3,0.03,82.71,593,58,7.747532656
0.3,25,1,0,73.7,801.2,42.9,7.572974948
0.21,4.94,0.032,1.5,93.318,1168,29.4,8.334941571
0.18,6.4,2.8,0.5,90.12,753,45.5,7.540269693
0.2,5,0,0,94.8,912.9,37.5,7.699807535
0.6,18,1.5,0,79.9,868.3,39.3,7.620096303
0.6,18,1.5,0,79.9,835.2,40.8,7.574335036
0.18,6.4,2.8,0.5,90.12,762,44.7,7.520703806
0.15,7,0,0.2,92.65,1156.8,29.4,8.278028792
0.37,31.4,1.19,0,67.04,706.7,48.1,7.517219285
0.37,31.4,1.19,0,67.04,707.7,48,7.514138362
0.3,5.06,0.022,0.019,94.599,1586,21.4,9.806014061
0.2,4.72,0,0,95.08,1250.4,27.1,8.565921323
0.4,5.17,0.029,0.008,94.393,1696,19.8,10.23438011
1,28,12,0,59,937.8,35.8,7.687575676
0.3,25,1,0,73.7,851,39.2,7.524023966
0.36,30,3.1,1.9,64.64,813,41,7.477850622
0.6,22,5.86,0,71.54,690.4,48.2,7.442553288
0,33,0,3.96,63.04,724,45.8,7.417393513
0.15,10,1.5,0,88.35,1549,21.4,9.617998633
0.18,6.4,2.8,0.5,90.12,914,36.2,7.599285707
0.17,5.56,1.21,0,93.06,1233.2,26.8,8.454032292
0.18,6.4,2.8,0.5,90.12,955,34.6,7.677028388
0.11,11.5,0.38,2.46,85.55,1300,25.4,8.679202466
0.75,28.89,9.48,0.035,60.845,957,34.5,7.679028963
0.19,4.99,0,1.98,92.84,1087,30.3,7.996802019
0.28,9.33,2.6,0,87.79,959,34.3,7.672867116
0.08,12.8,0,0,87.12,1342,24.5,8.819163593
0,31,3,3,63,825,39.8,7.440879544
0.3,10,3,2,84.7,1124,29.2,8.095030814
0.15,6,3,1.5,89.35,929,35.2,7.593883966
0.08,12.8,0,0,87.12,1408,23.1,9.040268568
0.15,10,1.5,0,88.35,1229,26.4,8.400040316
0.31,31.4,5.09,0,63.2,742,43.7,7.337449632
0.32,2.65,0,0.95,96.08,1076.238656,30.0826719,7.924379036
0.14,7.14,0.056,0.23,92.434,1126,28.7,8.064381704
0.31,31.4,5.09,0,63.2,738.5,43.7,7.319664389
0.2,4.72,0,0,95.08,1180.3,27.3,8.226033151
0.23,3,1.7,0.6,94.47,1285,25,8.57033031
0.2,5,0,2.5,92.3,931.1,34.4,7.539255742
0.0163,24.3,0,0,75.6837,786.4350296,40.49475906,7.301620882
0.57,12.4,1.4,0.4,85.23,710,44.7,7.256465907
0.19,4.99,0,1.98,92.84,1228,25.8,8.34598429
0.1,13.8,0.4,2.01,83.69,1320,24,8.66655853
0.32,3.85,4.18,1.53,90.12,920.4,34.4,7.484883713
0.18,8,0,0,91.82,1047,30.2,7.785379675
0.2,5,0,2.5,92.3,1128.5,28,8.0199485
0.1,13.8,0.4,2.01,83.69,1316,24,8.646232537
0.6,20.15,9.22,0,70.03,787,40,7.26410746
0.6,20.15,9.22,0,70.03,787,40,7.26410746
0.6,20.15,9.22,0,70.03,806,39,7.279031711
0.6,20.15,9.22,0,70.03,806,39,7.279031711
0.46,1.54,0.05,1.49,96.46,1238.338952,25.23227162,8.352181273
0.2,4.72,0,0,95.08,1054.2,29.5,7.764829513
0.27,11.1,1.49,1.37,85.77,1330,23.3,8.660236562
0.25,4,1.88,0.6,93.27,1143,27.1,8.020168431
0.12,6.1,0,1.5,92.28,1083,28.6,7.837714866
0.02,16.2,1.8,4,77.98,1090.3,28.4,7.858484959
0.2,5,0,0,94.8,920.8,33.6,7.421616942
0.2,4.72,0,0,95.08,1208.1,25.6,8.228537636
0.2,4.72,0,0,95.08,1040.1,29.7,7.709505233
0.18,6.4,2.8,0.5,90.12,910,33.8,7.383061605
0.16,3.95,0,0.5,95.39,1122,27.4,7.937944236
0.3,9.3,2.15,0.028,88.222,994.8,30.7,7.560937583
0,25.5,0.19,0,74.31,799.8,38.1,7.174064632
0.14,7.14,0.056,0.23,92.434,1289.5,23.5,8.470760733
0.19,22,0,0,77.81,696.9786497,43.33294146,7.078712864
1.11,29.8,7.65,0.09,61.35,974,31,7.479729687
0.092,5.91,0.028,0.017,93.953,848,35.6,7.214932308
0,25.5,0.19,0,74.31,793,37.8,7.115023181
0.23,3,1.7,0.6,94.47,1197,25,8.123158481
0.6,20.15,9.22,0,70.03,830,36,7.156115028
0.6,20.15,9.22,0,70.03,830,36,7.156115028
0.18,6.4,2.8,0.5,90.12,737,40.5,7.050844663
0,25.6,0,0,74.4,831.4,35.8,7.146904282
1.2,30.5,2.1,0,66.2,850,35,7.176120777
0.22,6.83,0,1.53,91.42,1096.3,27,7.774700051
0.59,21.95,0.01,3.04,74.41,803,36.8,7.08421395
0.19,4.39,0.01,0,95.41,957,30.8,7.377019377
0.3,3.5,6,0,90.2,816.4,36.1,7.095169075
0.1,5.25,0,2.09,92.56,1050,28,7.621050903
0,25.6,0,0,74.4,830.4,35.4,7.109173099
0.57,12.4,1.4,0.4,85.23,910,32.3,7.260625287
0.16,3.95,0,0.5,95.39,1022,28.7,7.535905906
0.22,6.83,0,1.53,91.42,1076.5,27.2,7.690411232
0.189,4.45,0.48,0,94.881,855,34.2,7.136228897
0.1,5.25,0,2.09,92.56,1004,29.1,7.477088625
0.23,3,1.7,0.6,94.47,1449,20,8.99557493
0.8,15,7,0,77.2,1020,28.4,7.501255646
0.15,7,0,0.2,92.65,1113.8,26,7.782002054
0.15,7,0,0.2,92.65,984.2,29.3,7.392799806
0.005,14.8,0,0.02,85.175,772,37.2,6.959337195
0.01,15.9,3.5,1.9,78.69,767.2,37.4,6.951270847
0.6,18,1.5,0,79.9,889.4,32.2,7.147784006
0.35,3.5,5.8,0,90.35,830,34.48094612,7.032123452
0.2,8.5,3,0,88.3,1228.1,23.3,8.14243191
0.28,6.2,0,1.6,91.92,1243.8,23,8.197724165
0.15,6.09,1.849,0.969,90.942,1200,23.8,8.04045392
0.15,7,0,0.2,92.65,1216,23.4,8.089108204
0,26.1,0.7,0,73.2,600.5,47.3,6.912264821
0.095,5.8,0.028,0.13,93.947,736,38.4,6.874352319
0.3,4,1.82,0.6,93.28,1124.2,25.1,7.761387843
0,26.1,0.7,0,73.2,594.7,47.3,6.882792132
0.056,8.9,1,1.54,88.504,1150.5,24.4,7.837894294
0.35,3.5,5.8,0,90.35,800,34.95400788,6.918291803
0.22,11.2,1.95,0,86.63,1708.8,16.3,10.01373854
0.002,31.1,0,0,68.898,532,52.3,6.972303265
0.1,5,0.02,1.2,93.68,779.3,35.6,6.865833391
0.092,5.91,0.028,0.017,93.953,767.5,36,6.838521399
0.8,20,7,0,72.2,1005,27.3,7.335246542
0.32,5.8,5,0,88.88,952.6,28.8,7.191412362
0.14,7.14,0.056,0.23,92.434,1166.3,23.5,7.844720172
0.093,7.22,0.013,0.49,92.184,1402,19.5,8.715932415
0.093,7.22,0.013,0.49,92.184,1231,22.2,8.06738162
0.14,7.14,0.056,0.23,92.434,1225.9,22.2,8.04146598
0.18,6.4,2.8,0.5,90.12,961,28.3,7.193284839
