C,Mn,Al,Si,Fe,Z
0.0,0.0,0.0,0.0,100.0,4.313888210232207
0.0,25.5,0.19,0.0,74.31,7.144543906632743
0.0,25.6,0.0,0.0,74.4,7.128038690956014
0.0,26.1,0.7,0.0,73.2,6.897528476797322
0.0,26.2,3.6,0.0,70.2,6.140694910830398
0.0,30.0,0.0,0.0,70.0,5.766336400474613
0.0,31.0,3.0,3.0,63.0,8.468512816225672
0.0,32.6,0.0,0.0,67.4,5.6374280979623475
0.0,33.0,0.0,3.96,63.04,7.417393513033365
0.001,19.8,0.0,0.0,80.199,5.75290007060857
0.001,32.3,0.0,0.0,67.699,5.572448971473781
0.0015,0.1,8.1,0.007,91.7915,3.6492776018508426
0.002,0.15,0.058,0.002,99.788,3.495754202989496
0.002,0.17,0.0,0.01,99.818,4.0484807115661345
0.002,28.4,0.0,0.0,71.59800000000001,6.748636344260724
0.002,31.1,0.0,0.0,68.898,6.9723032652096935
0.002,39.7,0.0,0.0,60.298,5.328816804764027
0.0035,0.1,6.81,0.008,93.0785,3.872944522799812
0.004,29.99,1.98,4.06,63.965999999999994,7.31063095203084
0.005,14.8,0.0,0.02,85.17500000000001,6.959337194861759
0.01,0.0,0.0,0.0,99.99,4.266983389882403
0.01,0.0,0.0,0.98,99.01,4.710258053710225
0.01,0.0,0.0,1.0,98.99,4.316657267402052
0.01,0.0,0.0,1.92,98.07,4.826767053483069
0.01,15.9,3.5,1.9,78.68999999999998,6.951270846623842
0.01,30.6,3.9,2.0,63.48999999999998,8.03846749760089
0.011,5.22,0.019,0.006,94.744,5.006257514220008
0.016,30.79,0.0,0.0,69.19399999999999,6.090350565710203
0.0163,24.3,0.0,0.0,75.6837,7.3016208822258974
0.017,4.5,7.9,0.0,87.583,4.388712336261863
0.018,17.0,0.0,0.0,82.982,5.571198131552524
0.018,31.6,0.0,6.45,61.932,5.487921372620368
0.02,15.8,2.9,3.0,78.28,7.81322101458659
0.02,16.2,1.8,4.0,77.98,7.858484959351934
0.02,17.9,2.9,3.2,75.98,7.892144356124625
0.02,28.7,2.0,4.0,65.28,8.889454061259539
0.02,29.2,2.8,3.0,64.98,9.234297524587111
0.023,2.05,0.038,0.31,97.579,3.862800862423544
0.03,18.1,3.5,1.8,76.57000000000001,7.854795116828525
0.03,25.5,1.8,3.9,68.77,8.452908635438417
0.03,25.6,2.8,3.0,68.57000000000001,9.755067720862526
0.03,25.6,3.8,2.0,68.57000000000001,8.782099767202904
0.03,26.5,2.8,3.0,67.67,9.845678507934174
0.04,0.13,9.74,0.007,90.083,4.127858645940715
0.04,20.1,2.9,2.8,74.15999999999998,10.060966599234025
0.046,2.11,0.028,0.31,97.506,4.217634033669453
0.05,5.0,0.0,0.2,94.75,6.158010214462634
0.05,6.15,0.0,1.5,92.3,6.962114344050949
0.05,8.51,0.08,0.29,91.07,7.262163857508906
0.05,12.0,3.0,0.0,84.95,5.620756782444878
0.05,14.91,0.0,0.0,85.04,5.968950386617134
0.05,16.86,0.0,0.0,83.09,6.225751596795169
0.05,18.66,0.0,0.0,81.29,5.1814345121933805
0.052,1.61,0.033,0.77,97.535,4.045115755240237
0.055,5.6,2.2,0.49,91.655,6.12340767598497
0.056,8.9,1.0,1.54,88.50399999999999,7.605657586859306
0.06,1.54,0.0,1.02,97.38,5.184378776060738
0.06,1.55,0.0,1.94,96.45,5.608166339756516
0.06,5.5,0.03,0.2,94.21,6.763279085601733
0.06,18.2,1.8,4.3,75.64,8.994839804747969
0.06,22.0,0.0,0.0,77.94,4.967110539990323
0.06,29.2,5.2,0.6,64.94,5.944852295135629
0.063,1.29,0.005,0.24,98.402,3.884172182433258
0.075,5.1,2.1,0.49,92.235,6.180984959031584
0.075,5.24,0.056,0.006,94.623,5.886737963787871
0.08,12.8,0.0,0.0,87.12,8.701698807297937
0.08,15.1,1.4,1.95,81.47,9.126856550693288
0.083,4.62,0.0,0.0,95.297,6.307532628952616
0.086,8.05,0.021,0.138,91.705,8.401240282308006
0.088,2.07,0.036,0.31,97.496,4.914512166262019
0.09,1.34,0.0,0.012,98.558,5.0348541328027565
0.09,13.9,2.01,2.07,81.92999999999999,8.618706744883921
0.092,4.6,0.0,0.0,95.308,6.053022307807987
0.092,5.91,0.028,0.017,93.953,6.978771947682938
0.093,7.22,0.013,0.49,92.184,8.391657017947512
0.095,5.8,0.028,0.13,93.947,5.918819689643349
0.099,7.09,0.031,0.13,92.65,6.8021279724990364
0.1,0.7,0.0,0.2,99.0,4.325246167003877
0.1,1.0,0.0026,0.1,98.7974,4.855953962986347
0.1,3.5,0.0,0.0,96.4,5.084806218200164
0.1,4.5,0.0,0.0,95.4,5.438209927262219
0.1,4.7,0.0,0.0,95.2,5.93307411672628
0.1,4.91,0.008,2.04,92.942,6.514723056867576
0.1,5.0,0.02,1.2,93.68,7.010701057014042
0.1,5.18,0.026,0.12,94.574,5.419952778287902
0.1,5.25,0.0,2.09,92.56,6.881439925975238
0.1,6.38,0.0,0.0,93.52,6.667306962435059
0.1,13.0,0.45,1.57,84.88000000000001,9.572025913761692
0.1,13.8,0.4,2.01,83.69,8.65639553347934
0.11,1.53,0.04,1.5,96.82,5.434100006890592
0.11,1.53,0.043,1.5,96.817,5.278508391401319
0.11,1.55,1.5,0.059,96.781,4.853372674167418
0.11,1.55,1.5,0.06,96.78,4.961052272132713
0.11,1.6,0.06,0.73,97.5,4.700337349451173
0.11,2.132,0.0,0.639,97.119,4.4892239301261965
0.11,4.5,2.2,0.45,92.74,6.183045815934912
0.11,4.86,0.0,0.0,95.03,5.638979729552449
0.11,8.1,1.8,0.6,89.39000000000001,9.411499557191265
0.11,11.5,0.38,2.46,85.55000000000001,8.679202465520182
0.11,30.9,1.21,0.0,67.78000000000002,6.635334949728994
0.115,1.51,0.38,0.49,97.505,4.96021702872904
0.115,1.54,0.91,0.02,97.415,4.747092405819212
0.12,0.87,0.02,0.25,98.74,5.0705556122777855
0.12,1.5,0.05,1.2,97.13,4.974709374777064
0.12,1.51,0.04,0.78,97.54999999999998,5.136660856454264
0.12,4.6,1.1,0.55,93.63,7.020137766559596
0.12,4.89,1.52,0.0,93.47,6.077953933540867
0.12,5.1,0.064,0.009,94.707,7.353751386569807
0.12,5.13,0.0,0.009,94.741,6.0810715118462655
0.12,5.8,3.1,0.47,90.51,6.448983667791847
0.12,6.1,0.0,1.5,92.28,7.508755822280905
0.12,7.0,0.0,0.3,92.58,7.781656145974943
0.128,1.56,0.515,0.005,97.792,4.491381575046105
0.14,7.0,0.0,0.22,92.64,8.275140472360775
0.14,7.14,0.056,0.23,92.434,8.45157999679015
0.14,7.39,1.55,0.2,90.72,6.658752681846451
0.143,7.39,1.55,0.2,90.717,7.300016550038137
0.143,10.07,1.68,0.2,87.907,9.18543459397479
0.15,1.0,0.0026,0.1,98.7474,5.555759600265031
0.15,1.4,0.0,0.26,98.18999999999998,3.5800175854920946
0.15,1.4,0.0,1.44,97.01,5.221142724570451
0.15,1.41,0.0,1.24,97.2,4.782852918473739
0.15,1.5,0.04,1.5,96.81,5.62387725403374
0.15,1.52,0.048,0.64,97.642,5.382167938839785
0.15,1.7,0.0,0.5,97.65,5.932857245015982
0.15,2.55,0.047,1.0,96.253,6.321633947627085
0.15,4.02,0.027,0.49,95.313,6.3349650827896635
0.15,6.0,1.0,1.5,91.35,7.748196515084442
0.15,6.0,3.0,1.5,89.35,6.571761111354922
0.15,6.09,1.849,0.969,90.942,8.02804922114102
0.15,7.0,0.0,0.2,92.65,7.697446148574563
0.15,7.0,1.0,0.3,91.55,8.256206755613254
0.15,10.0,1.5,0.0,88.35,9.16395383480371
0.16,1.39,0.0,1.96,96.49,4.469160127217325
0.16,1.4,0.0,1.71,96.73,4.746802067154337
0.16,1.47,0.046,1.42,96.904,5.316610082948334
0.16,2.52,0.055,1.41,95.855,7.032531286519932
0.16,3.95,0.0,0.5,95.39,7.519349380984514
0.16,4.7,1.6,0.22,93.32,6.794364153339223
0.16,14.3,0.89,2.97,81.68,9.696063448444509
0.166,1.03,0.0,0.24,98.564,4.9992523532569155
0.17,1.41,0.0,1.07,97.35,4.654254753842
0.17,1.49,0.033,0.22,98.087,5.196309024567919
0.17,1.63,0.036,0.28,97.884,5.279611498562748
0.17,1.65,1.11,0.38,96.69,5.8144317284974605
0.17,2.07,0.0,0.57,97.19,6.685879115805786
0.17,3.3,1.7,0.22,94.61,5.801672081949246
0.17,3.99,0.025,0.5,95.315,6.221979881213455
0.17,4.72,0.0,0.0,95.11,6.274891887902285
0.17,5.56,1.21,0.0,93.06,8.918860321757503
0.17,5.6,1.2,0.0,93.03,8.239906443026896
0.17,10.2,0.3,2.38,86.95,9.830102912031872
0.172,1.387,0.0,0.252,98.189,3.873662480450757
0.175,2.1,0.024,0.31,97.391,5.482943324020998
0.18,2.7,0.0,1.7,95.42,7.199084047925001
0.18,3.34,6.57,0.0,89.91,4.269403361095505
0.18,6.4,2.8,0.5,90.12,7.120739825147514
0.18,8.0,0.0,0.0,91.82,9.580147831785732
0.18,11.02,3.81,0.0,84.99,6.190741536120052
0.183,1.56,1.73,0.02,96.507,5.534264964296222
0.189,4.45,0.48,0.0,94.881,5.922722997413085
0.19,1.59,0.036,1.63,96.554,7.091093512102041
0.19,4.02,0.031,0.5,95.259,6.3895091954929635
0.19,4.39,0.01,0.0,95.41,6.15828245673324
0.19,4.99,0.0,1.98,92.84,8.192084437481427
0.19,22.0,0.0,0.0,77.81,7.078712864071305
0.195,1.55,0.04,1.21,97.005,6.280157282498153
0.195,4.52,1.3,0.0,93.985,5.490040620383189
0.199,0.94,0.041,2.1,96.72,5.786059022297136
0.2,0.951,0.041,1.56,97.248,5.5938636609083545
0.2,1.5,0.035,1.49,96.775,6.0686320488090155
0.2,1.8,0.036,1.51,96.454,6.529167415640974
0.2,2.0,0.0,1.5,96.3,6.472530138034612
0.2,3.0,0.06,1.6,95.14,7.228312584935133
0.2,4.72,0.0,0.0,95.08,8.299130901807445
0.2,4.88,3.11,0.62,91.19,8.91589597521821
0.2,5.0,0.0,0.0,94.8,6.611650164538549
0.2,5.0,0.0,2.5,92.3,7.8298350111166926
0.2,8.5,3.0,0.0,88.3,8.163526302750936
0.2,12.4,5.2,0.9,81.29999999999998,6.5034618248216685
0.201,0.95,0.04,1.24,97.569,5.437224128274649
0.201,1.8,0.041,1.24,96.71800000000002,6.190913637136995
0.203,1.25,0.042,1.24,97.265,5.56357164503093
0.208,5.11,2.47,0.0,92.212,7.899981969011583
0.21,4.94,0.032,1.5,93.318,8.334941570670473
0.21,10.2,1.94,0.0,87.65,8.692716511319706
0.21,10.75,6.08,0.0,82.96000000000001,8.416490449926632
0.22,1.8,0.0,1.4,96.58,6.659665842751432
0.22,6.83,0.0,1.53,91.42,7.437594691383534
0.22,7.2,2.4,0.0,90.18,8.667119339816212
0.22,11.2,1.95,0.0,86.63,9.559706036603211
0.23,1.6,0.05,0.74,97.38,6.907245587594827
0.23,3.0,1.7,0.6,94.47,8.60208967263
0.23,8.1,5.3,0.01,86.36,7.584841820920025
0.24,31.0,1.18,0.0,67.58,6.585667659930139
0.25,4.0,1.88,0.6,93.27,7.500875120585178
0.25,7.17,2.6,0.0,89.98,8.010379104664727
0.25,8.67,2.69,0.54,87.85,9.983141020838682
0.26,10.1,6.3,0.0,83.34,7.39477554738178
0.27,11.1,1.49,1.37,85.77000000000001,8.660236561633202
0.27,28.5,0.0,0.0,71.23,8.890269736037151
0.28,2.56,0.049,1.56,95.551,8.79017479223918
0.28,4.08,0.0,1.42,94.22,8.597865994259871
0.28,4.95,0.06,1.64,93.07,6.336713911341668
0.28,6.2,0.0,1.6,91.92,8.092008754157568
0.28,9.33,2.6,0.0,87.79,7.67286711633175
0.29,2.95,0.06,1.59,95.11,7.312338784967181
0.29,3.0,0.0,1.4,95.31,8.05343975369367
0.3,3.5,6.0,0.0,90.2,7.095169075215988
0.3,4.0,0.0,1.6,94.1,9.337914838256708
0.3,4.0,1.82,0.6,93.28000000000002,7.517021867103218
0.3,5.06,0.022,0.019,94.599,8.999095715149654
0.3,6.0,3.0,1.5,89.2,8.217475736925863
0.3,7.0,2.0,0.0,90.7,8.798628039902406
0.3,8.5,5.6,0.0,85.60000000000001,7.304980788373949
0.3,9.0,5.0,0.0,85.7,9.231010476390871
0.3,9.3,2.15,0.028,88.222,8.234427699695813
0.3,10.0,3.0,2.0,84.7,8.853535373440176
0.3,12.0,3.0,0.0,84.7,8.572069993469825
0.3,25.0,1.0,0.0,73.7,7.8247925200285895
0.31,1.57,0.009,1.51,96.601,6.675487868675146
0.31,6.67,5.94,0.02,87.06,6.393437738851864
0.31,8.8,5.1,0.0,85.79,6.753702515862396
0.31,22.28,0.0,0.12,77.28999999999999,7.876632840174965
0.31,31.4,5.09,0.0,63.19999999999999,7.328557010847595
0.32,1.42,0.0,1.56,96.7,7.068613746189166
0.32,1.61,0.06,0.74,97.27,9.833947396777122
0.32,2.65,0.0,0.95,96.08,7.227436642037077
0.32,3.85,4.18,1.53,90.12,6.654243382249201
0.32,5.8,5.0,0.0,88.88000000000001,7.467105620043427
0.32,16.8,1.47,0.03,81.38000000000001,8.056543308038204
0.32,21.75,1.26,0.04,76.63,8.402725662538902
0.35,1.1,4.1,0.38,94.07000000000002,4.971216961863016
0.35,3.5,5.8,0.0,90.35,6.343494372056848
0.36,28.86,9.52,0.04,61.220000000000006,6.305982750752866
0.36,30.0,3.1,1.9,64.64,8.279128800064457
0.37,31.4,1.19,0.0,67.03999999999999,7.515678823117884
0.38,26.5,3.6,2.2,67.32000000000001,8.494665926773244
0.38,27.8,8.59,0.35,62.88,6.133410093325351
0.4,3.5,5.9,0.0,90.2,6.652604966969887
0.4,5.17,0.029,0.008,94.393,9.403494420886208
0.4,6.25,2.24,0.0,91.11,8.656568259135728
0.4,8.0,3.0,2.0,86.6,9.33487772779996
0.4,12.0,0.0,0.0,87.6,8.601861034333817
0.4,21.83,1.5,0.16,76.11,6.3905701588268595
0.42,22.0,0.0,0.0,77.58,9.255705128065872
0.45,10.0,1.0,0.0,88.55,8.973412267076673
0.46,1.54,0.05,1.49,96.46,8.151123060529201
0.47,22.38,0.0,0.17,76.98,8.946621142982206
0.47,26.0,9.7,0.0,63.83,6.572361094708827
0.5,12.0,7.0,0.0,80.5,6.509666207437824
0.5,30.0,0.0,0.0,69.5,8.356825518863436
0.51,15.45,1.3,0.03,82.71,7.747532656319985
0.52,7.75,2.78,0.0,88.95,9.4078205418231
0.52,29.8,2.73,2.96,63.99,7.283453416288946
0.53,15.44,1.9,0.11,82.02,8.94512447845784
0.53,17.88,0.0,0.08,81.51,9.55434900470605
0.56,19.01,0.96,0.0,79.47,9.85687521853802
0.56,21.68,0.0,0.06,77.69999999999999,10.364646276876757
0.56,29.06,9.57,0.04,60.77,6.911801871129087
0.57,12.4,1.4,0.4,85.22999999999999,7.549081071871983
0.57,22.0,0.0,0.0,77.43,10.213658209864231
0.58,17.48,1.42,0.0,80.52,10.851371022285942
0.58,17.51,1.54,0.05,80.32,9.952887746942928
0.58,19.07,2.02,0.0,78.33,9.218566534917516
0.59,16.42,0.0,3.0,79.99,8.207425645453501
0.59,17.7,0.0,1.59,80.11999999999999,11.08099538242942
0.59,17.7,0.03,1.59,80.08999999999999,11.187787848042234
0.59,21.95,0.01,3.04,74.40999999999998,8.062901366518021
0.6,12.0,0.0,0.0,87.4,6.470471645066427
0.6,16.85,1.14,0.06,81.35000000000001,9.619204273319005
0.6,18.0,0.0,0.0,81.4,10.56008202225424
0.6,18.0,1.2,0.0,80.2,9.831106981775964
0.6,18.0,1.5,0.0,79.9,7.933627282863483
0.6,18.0,2.5,0.0,78.9,9.109813997605404
0.6,20.15,9.22,0.0,70.03,7.168978894368411
0.6,21.59,0.0,0.0,77.81,9.70122973519168
0.6,22.0,0.0,0.0,77.4,9.85990755467713
0.6,22.0,5.86,0.0,71.54,7.4425532875726095
0.61,19.01,0.96,0.0,79.42,9.003702521739344
0.61,22.2,0.0,0.18,77.00999999999999,10.26591226675595
0.62,17.65,0.01,0.01,81.70999999999998,11.476433895479769
0.62,17.65,0.02,0.0,81.71,9.612528863610827
0.62,24.5,0.0,0.0,74.88,11.2931006068685
0.63,21.78,2.97,0.0,74.62,9.993614150079733
0.68,18.84,1.49,0.05,78.94,9.80890192423714
0.7,10.4,9.7,0.0,79.19999999999999,5.192669149411979
0.7,12.0,5.5,0.0,81.8,7.934290641178596
0.7,15.0,2.0,2.0,80.3,9.653724270355477
0.71,23.5,0.01,0.06,75.72,10.020183452167926
0.75,17.59,1.7,0.52,79.44,9.241886770475071
0.75,18.0,1.7,0.5,79.05,9.180778086959702
0.75,28.89,9.48,0.035,60.845,7.874747644285948
0.77,1.96,0.0,0.03,97.24,7.685200682738027
0.78,0.03,0.0,0.03,99.16,6.014391443636459
0.79,2.0,0.0,1.0,96.21,8.482409786951356
0.8,0.03,0.0,0.99,98.18,7.4365224686565545
0.8,8.0,8.0,0.0,83.2,9.60676611593926
0.8,12.0,7.0,0.0,80.2,6.150555307116573
0.8,15.0,7.0,0.0,77.2,7.457909226077956
0.8,20.0,7.0,0.0,72.2,7.199305869931276
0.8,31.52,8.73,0.0,58.95,8.580023555205294
0.81,26.8,12.32,0.0,60.07,7.954550709256627
0.82,0.03,0.0,2.01,97.14,8.112132409659058
0.82,0.97,0.0,0.03,98.18,7.131922215366577
0.86,22.8,8.48,0.0,67.86,8.974219005847154
0.92,28.8,9.37,0.035,60.87500000000001,8.33433735831465
0.95,17.0,0.0,0.0,82.05,10.122204863314575
0.95,27.02,11.5,0.59,59.94,8.125013543364286
0.96,13.08,0.0,1.23,84.73,7.932104523687373
1.0,28.0,12.0,0.0,59.0,7.555761237950586
1.0,30.0,0.0,0.0,69.0,9.131343241436303
1.01,27.95,8.65,0.54,61.849999999999994,9.058119293591822
1.11,29.8,7.65,0.09,61.35,7.858452706455305
1.12,29.6,10.46,0.0,58.82,8.540165346989745
1.2,12.0,0.0,0.0,86.8,10.265220177892168
1.2,22.0,0.0,0.0,76.8,10.046399815676269
1.2,30.5,2.1,0.0,66.2,9.024568688105045
1.2,30.5,8.0,0.0,60.3,9.434889057709972
1.27,28.4,8.3,0.25,61.780000000000015,8.194978796284538
1.47,0.0,0.0,0.0,98.53,2.666764401008371
1.48,0.0,0.0,0.0,98.52,2.4758890867259424
1.5,0.0,1.0,0.0,97.5,5.5575595503267445
1.5,0.5,1.6,0.0,96.4,7.274455047827583
1.56,0.0,0.0,0.0,98.44,4.420381418151506
1.58,0.43,1.65,0.4,95.93999999999998,7.4033680784839975
1.64,0.0,0.0,0.0,98.36,3.655187247680985
1.7,0.0,1.5,0.0,96.8,6.305437948533423
1.8,0.0,2.6,0.0,95.6,6.00569210926448
1.8,0.5,1.6,0.0,96.1,6.5642923825357675
2.0,30.0,9.5,0.0,58.5,10.167137472074536
3.35,0.3,0.0,2.25,94.1,3.532644274545119
3.41,0.12,0.0,3.2,93.27,3.4494188459646336
